Wavelength (nm);Pulsation (Prad);Spectral intensity (arb. u.);Spectral phase (rad);Phase fit (rad)
1037.74654;1.81514;0;;
1037.64294;1.81532;0;;
1037.53935;1.8155;0;;
1037.43578;1.81568;0;;
1037.33224;1.81586;0;;
1037.22871;1.81604;0;;
1037.12521;1.81622;0;;
1037.02172;1.81641;0;;
1036.91826;1.81659;0;;
1036.81482;1.81677;0;;
1036.7114;1.81695;0;;
1036.608;1.81713;0;;
1036.50462;1.81731;0;;
1036.40126;1.81749;0;;
1036.29792;1.81767;0;;
1036.1946;1.81786;0;;
1036.0913;1.81804;0;;
1035.98802;1.81822;0;;
1035.88477;1.8184;0;;
1035.78153;1.81858;0;;
1035.67831;1.81876;0;;
1035.57512;1.81894;0;;
1035.47195;1.81912;0;;
1035.36879;1.8193;0;;
1035.26566;1.81949;0;;
1035.16255;1.81967;0;;
1035.05945;1.81985;0;;
1034.95638;1.82003;0;;
1034.85333;1.82021;0;;
1034.7503;1.82039;0;;
1034.64729;1.82057;0;;
1034.5443;1.82075;0;;
1034.44133;1.82094;0;;
1034.33838;1.82112;0;;
1034.23545;1.8213;0;;
1034.13255;1.82148;0;;
1034.02966;1.82166;0;;
1033.92679;1.82184;0.00001;;
1033.82394;1.82202;0;;
1033.72112;1.8222;0.00002;;
1033.61831;1.82239;0.00001;;
1033.51553;1.82257;0.00001;;
1033.41276;1.82275;0.00011;20.6329;76.7922
1033.31002;1.82293;0.00006;15.9931;48.4325
1033.2073;1.82311;0.00059;14.0438;28.8249
1033.10459;1.82329;0.0007;9.36667;15.8371
1033.00191;1.82347;0.001;7.00644;7.72064
1032.89925;1.82365;0.00298;2.49176;3.06375
1032.79661;1.82384;0.00459;0.4916;0.74787
1032.69398;1.82402;0.01548;1.34586;-0.09265
1032.59138;1.8242;0.00214;0.25579;-0.10741
1032.4888;1.82438;0.02903;1.03416;0.23634
1032.38624;1.82456;0.01006;0.0008;0.62306
1032.2837;1.82474;0.07937;-0.04795;0.86124
1032.18118;1.82492;0.01431;-0.43586;0.85847
1032.07868;1.8251;0.11397;-0.17555;0.5993
1031.9762;1.82529;0.11472;-0.08546;0.12558
1031.87375;1.82547;0.25894;-0.71032;-0.48074
1031.77131;1.82565;0.12055;-0.44788;-1.11243
1031.66889;1.82583;0.24251;-0.49817;-1.64967
1031.56649;1.82601;0.65415;-0.40253;-1.97063
1031.46411;1.82619;0.51343;-0.86364;-1.96014
1031.36176;1.82637;0.32501;-0.3705;-1.51647
1031.25942;1.82655;0.60021;0.36701;-0.55645
1031.1571;1.82674;1;0;0.98098
1031.05481;1.82692;0.23856;0;3.13274
1030.95253;1.8271;0.08947;2.97601;5.91081
1030.85028;1.82728;0.53484;8.20108;9.30276
1030.74804;1.82746;0.27001;13.9052;13.2732
1030.64583;1.82764;0.21625;18.6776;17.7666
1030.54363;1.82782;0.20665;23.6462;22.7101
1030.44146;1.828;0.23811;29.4818;28.0181
1030.3393;1.82819;0.10707;34.6215;33.5967
1030.23717;1.82837;0.03321;39.882;39.3489
1030.13506;1.82855;0.0984;45.2633;45.18
1030.03296;1.82873;0.0317;50.7418;51.0034
1029.93089;1.82891;0.02734;56.5137;56.7463
1029.82884;1.82909;0.02288;61.5104;62.3557
1029.7268;1.82927;0.03398;67.1267;67.8036
1029.62479;1.82945;0.02616;72.6083;73.0929
1029.5228;1.82964;0.02267;78.0345;78.2619
1029.42083;1.82982;0.01162;83.4826;83.3891
1029.31887;1.83;0.01116;89.0337;88.5967
1029.21694;1.83018;0.00678;94.8677;94.0539
1029.11503;1.83036;0.00614;100.346;99.9788
1029.01314;1.83054;0.00456;105.943;106.64
1028.91127;1.83072;0.00227;111.267;114.356
1028.80942;1.8309;0.00117;116.875;123.494
1028.70759;1.83109;0.00058;122.452;134.468
1028.60578;1.83127;0.00038;128.082;147.734
1028.50399;1.83145;0.00017;133.605;163.784
1028.40222;1.83163;0.00008;;
1028.30047;1.83181;0.00003;;
1028.19874;1.83199;0.00001;;
1028.09703;1.83217;0;;
1027.99534;1.83235;0;;
1027.89367;1.83254;0;;
1027.79202;1.83272;0;;
1027.69039;1.8329;0;;
1027.58878;1.83308;0;;
1027.48719;1.83326;0;;
1027.38562;1.83344;0;;
1027.28407;1.83362;0;;
1027.18254;1.8338;0;;
1027.08103;1.83399;0;;
1026.97954;1.83417;0;;
1026.87807;1.83435;0;;
1026.77662;1.83453;0;;
1026.6752;1.83471;0;;
1026.57379;1.83489;0;;
1026.4724;1.83507;0;;
1026.37103;1.83525;0;;
1026.26968;1.83544;0;;
1026.16835;1.83562;0;;
1026.06704;1.8358;0;;
1025.96575;1.83598;0;;
1025.86449;1.83616;0;;
1025.76324;1.83634;0;;
1025.66201;1.83652;0;;
1025.5608;1.8367;0;;
1025.45961;1.83689;0;;
1025.35844;1.83707;0;;
1025.25729;1.83725;0;;
1025.15616;1.83743;0;;
1025.05506;1.83761;0;;
1024.95397;1.83779;0;;
1024.8529;1.83797;0;;
1024.75185;1.83815;0;;
